transaction_id,product_id,customer_id,branch_id,transaction_date,quantity,total_amount,payment_method
425,35,584,1,2024-05-30,10,4400,Mobile Payment
426,70,17,10,2024-03-07,10,500,Credit Card
427,7,191,5,2024-06-13,10,2880,Cash
438,39,458,6,2024-02-08,10,3430,Mobile Payment
448,17,2,3,2024-05-05,10,3630,Debit Card
463,41,168,7,2024-02-29,10,1310,Credit Card
484,48,698,9,2024-01-11,10,4950,Mobile Payment
505,81,516,1,2024-02-27,10,2600,Cash
510,23,710,5,2024-01-11,10,1350,Cash
528,5,411,10,2024-01-29,10,3350,Mobile Payment
532,63,250,2,2024-04-26,10,4120,Credit Card
550,2,444,2,2024-04-17,10,3520,Cash
575,20,979,2,2024-02-26,10,3800,Mobile Payment
597,34,256,9,2024-02-19,10,3680,Debit Card
612,52,65,6,2024-02-01,10,3060,Mobile Payment
635,78,40,6,2024-02-08,10,1720,Credit Card
637,40,929,3,2024-05-28,10,3550,Mobile Payment
639,5,191,8,2024-01-05,10,3350,Debit Card
642,26,221,10,2024-06-25,10,4830,Mobile Payment
657,13,380,9,2024-03-03,10,620,Debit Card
667,72,52,10,2024-01-30,10,1280,Mobile Payment
723,87,885,4,2024-03-13,10,1110,Debit Card
732,51,560,1,2024-02-26,10,2090,Debit Card
736,33,456,4,2024-01-03,10,140,Debit Card
761,43,797,2,2024-02-14,10,3320,Mobile Payment
772,41,588,7,2024-06-20,10,1310,Mobile Payment
780,17,291,5,2024-04-03,10,3630,Mobile Payment
792,57,133,7,2024-04-01,10,1990,Cash
801,29,488,5,2024-04-11,10,2840,Credit Card
802,22,654,1,2024-06-27,10,4690,Credit Card
808,43,783,4,2024-01-21,10,3320,Cash
811,10,162,10,2024-01-09,10,1250,Debit Card
830,55,633,1,2024-03-31,10,1830,Credit Card
833,35,207,2,2024-06-11,10,4400,Mobile Payment
850,97,860,6,2024-05-25,10,2250,Mobile Payment
869,21,637,4,2024-04-02,10,460,Mobile Payment
872,13,641,4,2024-05-07,10,620,Debit Card
886,31,838,6,2024-06-17,10,4460,Cash
888,10,378,7,2024-04-19,10,1250,Debit Card
923,4,679,8,2024-03-16,10,4210,Credit Card
937,11,730,5,2024-01-26,10,150,Credit Card
940,37,282,8,2024-06-12,10,1620,Credit Card
944,27,128,7,2024-04-21,10,340,Credit Card
961,35,109,4,2024-06-18,10,4400,Credit Card
976,13,568,3,2024-01-26,10,620,Credit Card
979,2,87,10,2024-02-05,10,3520,Mobile Payment
1023,61,777,7,2024-04-23,10,1450,Cash
1043,43,459,1,2024-03-15,10,3320,Mobile Payment
1050,63,626,4,2024-06-13,10,4120,Debit Card
1051,14,910,8,2024-04-15,10,3270,Credit Card
1054,37,739,7,2024-02-25,10,1620,Debit Card
1072,64,14,4,2024-02-09,10,3800,Credit Card
1108,50,370,6,2024-04-29,10,2740,Cash
1110,91,63,4,2024-01-09,10,2190,Debit Card
1142,20,661,8,2024-03-07,10,3800,Mobile Payment
1145,76,116,9,2024-04-26,10,2300,Credit Card
1158,50,954,4,2024-06-04,10,2740,Mobile Payment
1168,48,493,7,2024-06-17,10,4950,Cash
1177,37,590,8,2024-02-25,10,1620,Debit Card
1194,72,887,6,2024-06-12,10,1280,Debit Card
1212,25,579,2,2024-04-09,10,4060,Debit Card
1217,52,495,6,2024-04-28,10,3060,Cash
1232,2,808,8,2024-05-16,10,3520,Cash
1254,85,616,8,2024-02-10,10,240,Mobile Payment
1272,62,107,8,2024-05-09,10,1360,Mobile Payment
1274,57,212,8,2024-01-18,10,1990,Debit Card
1285,98,309,4,2024-03-05,10,2280,Credit Card
1289,79,507,3,2024-04-06,10,3380,Mobile Payment
1302,34,614,4,2024-03-28,10,3680,Cash
1306,14,865,6,2024-05-11,10,3270,Mobile Payment
1309,33,929,3,2024-01-08,10,140,Debit Card
1326,88,412,5,2024-01-05,10,1840,Cash
1333,65,173,9,2024-05-18,10,990,Credit Card
1337,92,509,3,2024-04-29,10,3610,Cash
1346,36,245,2,2024-05-25,10,1320,Mobile Payment
1352,44,330,2,2024-06-16,10,720,Cash
1354,88,220,3,2024-06-24,10,1840,Cash
1373,53,760,1,2024-04-27,10,4310,Mobile Payment
1399,80,677,3,2024-06-10,10,4370,Mobile Payment
1411,80,369,7,2024-04-24,10,4370,Cash
1419,52,136,1,2024-02-06,10,3060,Credit Card
1435,58,849,6,2024-02-26,10,810,Mobile Payment
1440,70,865,7,2024-03-10,10,500,Credit Card
1441,14,572,3,2024-01-09,10,3270,Credit Card
1443,40,368,1,2024-03-24,10,3550,Mobile Payment
1444,3,24,8,2024-04-16,10,3470,Cash
1451,28,737,9,2024-06-26,10,1630,Cash
1455,73,354,10,2024-01-14,10,3400,Mobile Payment
1497,55,145,5,2024-04-24,10,1830,Mobile Payment
1498,19,592,5,2024-01-24,10,250,Mobile Payment
1507,73,745,5,2024-03-19,10,3400,Credit Card
1539,48,449,3,2024-03-05,10,4950,Debit Card
1552,12,682,7,2024-02-05,10,4300,Cash
1555,15,21,1,2024-01-20,10,2670,Cash
1561,75,167,9,2024-06-05,10,3480,Debit Card
1593,28,892,9,2024-05-25,10,1630,Credit Card
1603,31,857,9,2024-05-15,10,4460,Credit Card
1607,13,248,2,2024-03-02,10,620,Credit Card
1610,67,680,4,2024-01-10,10,3600,Debit Card
1631,79,750,5,2024-05-03,10,3380,Mobile Payment
1641,1,512,1,2024-06-16,10,1850,Mobile Payment
1646,9,220,6,2024-06-08,10,820,Credit Card
1659,88,965,8,2024-01-24,10,1840,Debit Card
1671,87,58,7,2024-02-07,10,1110,Credit Card
1676,79,240,4,2024-05-29,10,3380,Mobile Payment
1685,62,359,9,2024-01-26,10,1360,Credit Card
1692,18,337,5,2024-06-19,10,4880,Credit Card
1696,83,885,7,2024-01-23,10,1120,Debit Card
1713,35,803,5,2024-03-06,10,4400,Mobile Payment
1717,95,169,3,2024-01-19,10,3550,Cash
1718,46,90,2,2024-03-04,10,110,Cash
1719,53,871,3,2024-03-10,10,4310,Debit Card
1723,72,906,5,2024-02-20,10,1280,Cash
1736,42,533,7,2024-05-26,10,1490,Debit Card
1743,87,706,7,2024-01-12,10,1110,Cash
1751,25,582,8,2024-04-10,10,4060,Debit Card
1772,67,578,10,2024-06-12,10,3600,Debit Card
1777,9,154,2,2024-02-25,10,820,Mobile Payment
1778,62,667,7,2024-02-21,10,1360,Credit Card
1815,23,363,10,2024-02-18,10,1350,Cash
1820,56,760,5,2024-04-14,10,4540,Mobile Payment
1834,43,511,8,2024-01-16,10,3320,Credit Card
1835,35,671,9,2024-04-18,10,4400,Credit Card
1849,21,210,5,2024-04-24,10,460,Mobile Payment
1854,69,672,7,2024-04-05,10,4110,Debit Card
1862,7,54,5,2024-04-18,10,2880,Cash
1865,50,739,6,2024-03-10,10,2740,Credit Card
1867,31,302,8,2024-04-08,10,4460,Debit Card
1878,17,259,2,2024-01-20,10,3630,Debit Card
1886,99,354,2,2024-06-06,10,4710,Cash
1887,71,436,7,2024-05-03,10,100,Mobile Payment
1889,64,66,6,2024-01-25,10,3800,Debit Card
1897,93,105,4,2024-06-07,10,4610,Cash
1899,89,751,6,2024-04-17,10,990,Credit Card
1905,21,661,9,2024-01-21,10,460,Credit Card
1908,70,214,5,2024-03-11,10,500,Cash
1910,24,501,1,2024-02-21,10,360,Debit Card
1916,65,133,7,2024-05-24,10,990,Cash
1917,50,774,6,2024-03-16,10,2740,Mobile Payment
1920,47,616,3,2024-05-28,10,1940,Cash
1940,38,542,9,2024-05-16,10,3690,Mobile Payment
1951,92,159,6,2024-05-01,10,3610,Mobile Payment
1955,84,587,2,2024-03-08,10,4540,Credit Card
1967,44,786,7,2024-05-25,10,720,Cash
1970,94,741,6,2024-06-22,10,1560,Credit Card
1983,42,639,7,2024-06-29,10,1490,Credit Card
1990,94,286,6,2024-02-14,10,1560,Credit Card
1993,100,969,2,2024-05-09,10,2130,Debit Card
2025,33,455,5,2024-06-02,10,140,Cash
2050,34,322,5,2024-05-09,10,3680,Debit Card
2058,51,456,3,2024-01-09,10,2090,Cash
2059,12,151,4,2024-03-01,10,4300,Cash
2080,19,349,6,2024-03-24,10,250,Cash
2081,34,981,7,2024-02-14,10,3680,Mobile Payment
2093,62,1,5,2024-06-03,10,1360,Mobile Payment
2099,2,196,5,2024-05-03,10,3520,Cash
2115,4,939,9,2024-03-30,10,4210,Mobile Payment
2128,55,72,2,2024-06-13,10,1830,Mobile Payment
2129,34,860,10,2024-05-04,10,3680,Mobile Payment
2166,17,995,7,2024-02-03,10,3630,Debit Card
2173,70,537,4,2024-01-05,10,500,Debit Card
2178,83,900,3,2024-03-04,10,1120,Cash
2215,80,79,4,2024-02-26,10,4370,Debit Card
2233,34,107,3,2024-06-30,10,3680,Debit Card
2245,37,414,2,2024-01-17,10,1620,Cash
2256,9,167,9,2024-01-27,10,820,Credit Card
2258,20,520,10,2024-04-10,10,3800,Mobile Payment
2261,48,289,8,2024-06-26,10,4950,Mobile Payment
2286,16,4,7,2024-01-17,10,4350,Cash
2293,81,313,1,2024-01-06,10,2600,Credit Card
2298,77,559,8,2024-03-26,10,3150,Debit Card
2313,46,878,9,2024-03-04,10,110,Mobile Payment
2327,69,597,7,2024-01-31,10,4110,Credit Card
2330,47,30,4,2024-05-05,10,1940,Mobile Payment
2335,53,980,9,2024-06-04,10,4310,Mobile Payment
2339,15,762,6,2024-01-20,10,2670,Cash
2345,29,617,6,2024-02-08,10,2840,Credit Card
2353,94,199,1,2024-03-29,10,1560,Credit Card
2359,32,536,9,2024-06-13,10,470,Mobile Payment
2372,56,123,6,2024-04-18,10,4540,Mobile Payment
2381,77,495,1,2024-02-18,10,3150,Mobile Payment
2386,30,37,3,2024-01-24,10,2740,Debit Card
2395,41,876,3,2024-02-17,10,1310,Credit Card
2397,72,186,1,2024-02-06,10,1280,Credit Card
2414,74,753,7,2024-02-11,10,3740,Cash
2427,30,867,10,2024-04-09,10,2740,Cash
2430,83,899,4,2024-03-21,10,1120,Debit Card
2437,98,394,5,2024-04-27,10,2280,Credit Card
2446,53,127,7,2024-02-19,10,4310,Credit Card
2463,43,899,10,2024-02-23,10,3320,Debit Card
2472,36,958,5,2024-05-19,10,1320,Credit Card
2473,14,580,4,2024-05-05,10,3270,Mobile Payment
2498,61,593,3,2024-05-30,10,1450,Credit Card
2528,43,512,8,2024-03-21,10,3320,Mobile Payment
2533,9,212,6,2024-02-23,10,820,Debit Card
2546,78,725,9,2024-02-20,10,1720,Mobile Payment
2547,4,6,9,2024-05-29,10,4210,Credit Card
2549,87,323,4,2024-03-30,10,1110,Debit Card
2558,38,193,7,2024-02-27,10,3690,Mobile Payment
2580,51,408,10,2024-04-03,10,2090,Mobile Payment
2581,60,920,3,2024-04-18,10,1390,Cash
2632,55,953,4,2024-06-21,10,1830,Credit Card
2637,14,150,5,2024-04-09,10,3270,Cash
2643,57,592,10,2024-06-13,10,1990,Credit Card
2659,68,90,4,2024-03-20,10,1290,Credit Card
2664,87,612,9,2024-04-02,10,1110,Debit Card
2670,94,361,4,2024-02-02,10,1560,Credit Card
2672,74,721,1,2024-04-19,10,3740,Cash
2682,43,55,6,2024-06-07,10,3320,Debit Card
2684,81,519,3,2024-04-24,10,2600,Cash
2687,82,247,3,2024-02-20,10,1420,Cash
2698,55,172,1,2024-05-03,10,1830,Credit Card
2711,77,867,8,2024-01-29,10,3150,Mobile Payment
2726,47,88,2,2024-05-30,10,1940,Credit Card
2748,45,955,2,2024-05-09,10,1510,Cash
2752,55,993,4,2024-04-24,10,1830,Credit Card
2764,17,630,10,2024-06-10,10,3630,Mobile Payment
2812,90,829,1,2024-03-26,10,2790,Mobile Payment
2821,69,476,9,2024-02-21,10,4110,Cash
2834,7,809,4,2024-03-05,10,2880,Debit Card
2849,64,632,5,2024-06-19,10,3800,Cash
2874,73,341,3,2024-03-28,10,3400,Mobile Payment
2900,30,557,1,2024-06-06,10,2740,Debit Card
2912,67,543,2,2024-03-01,10,3600,Debit Card
2923,75,866,5,2024-02-20,10,3480,Credit Card
2924,7,115,4,2024-02-03,10,2880,Debit Card
2926,29,973,7,2024-04-15,10,2840,Debit Card
2931,22,278,8,2024-02-07,10,4690,Mobile Payment
2937,77,34,3,2024-02-06,10,3150,Cash
2942,55,967,8,2024-05-09,10,1830,Credit Card
2969,96,838,2,2024-03-19,10,840,Mobile Payment
2980,58,499,8,2024-05-09,10,810,Credit Card
2981,29,940,5,2024-06-02,10,2840,Debit Card
2983,32,602,5,2024-06-09,10,470,Debit Card
2987,49,669,8,2024-01-08,10,2450,Cash
3004,47,953,2,2024-01-09,10,1940,Cash
3007,47,811,6,2024-06-29,10,1940,Debit Card
3014,38,300,7,2024-02-02,10,3690,Credit Card
3025,74,735,7,2024-05-11,10,3740,Cash
3026,42,887,9,2024-04-24,10,1490,Cash
3039,33,386,1,2024-03-11,10,140,Credit Card
3058,61,955,7,2024-03-15,10,1450,Mobile Payment
3082,88,898,9,2024-03-26,10,1840,Credit Card
3084,48,352,1,2024-06-04,10,4950,Cash
3096,13,124,1,2024-01-24,10,620,Cash
3097,79,185,6,2024-04-17,10,3380,Debit Card
3113,1,414,2,2024-04-06,10,1850,Cash
3119,85,948,6,2024-04-11,10,240,Cash
3139,39,374,10,2024-04-05,10,3430,Cash
3141,43,801,3,2024-03-08,10,3320,Cash
3153,57,105,5,2024-05-16,10,1990,Mobile Payment
3164,7,404,7,2024-04-18,10,2880,Mobile Payment
3168,70,771,1,2024-06-18,10,500,Credit Card
3199,18,447,10,2024-03-19,10,4880,Mobile Payment
3209,77,859,1,2024-05-11,10,3150,Credit Card
3211,23,779,7,2024-05-16,10,1350,Debit Card
3226,51,413,5,2024-06-12,10,2090,Cash
3229,83,13,3,2024-05-23,10,1120,Credit Card
3256,37,209,5,2024-05-31,10,1620,Debit Card
3259,80,251,1,2024-06-07,10,4370,Cash
3282,11,148,4,2024-03-02,10,150,Credit Card
3304,83,660,5,2024-04-09,10,1120,Cash
3314,68,454,4,2024-06-28,10,1290,Cash
3318,48,730,5,2024-01-05,10,4950,Cash
3323,55,644,5,2024-06-30,10,1830,Credit Card
3328,74,704,9,2024-02-29,10,3740,Cash
3335,13,930,3,2024-05-30,10,620,Cash
3336,77,129,4,2024-03-02,10,3150,Debit Card
3358,7,629,6,2024-01-14,10,2880,Debit Card
3360,56,179,4,2024-06-01,10,4540,Credit Card
3369,64,830,8,2024-03-20,10,3800,Debit Card
3375,43,618,10,2024-03-16,10,3320,Credit Card
3377,34,82,7,2024-02-06,10,3680,Cash
3378,37,244,2,2024-02-11,10,1620,Cash
3385,65,47,8,2024-06-28,10,990,Cash
3400,78,116,5,2024-01-01,10,1720,Mobile Payment
3405,88,572,6,2024-03-11,10,1840,Debit Card
3408,25,144,6,2024-01-31,10,4060,Debit Card
3435,49,457,2,2024-04-23,10,2450,Credit Card
3447,86,11,1,2024-04-09,10,1670,Debit Card
3450,16,409,4,2024-05-04,10,4350,Mobile Payment
3456,84,44,6,2024-02-22,10,4540,Debit Card
3479,64,399,4,2024-01-11,10,3800,Debit Card
3504,94,243,2,2024-01-11,10,1560,Mobile Payment
3509,82,151,10,2024-04-12,10,1420,Mobile Payment
3510,9,5,8,2024-06-24,10,820,Credit Card
3527,35,608,4,2024-06-02,10,4400,Debit Card
3546,85,923,1,2024-03-14,10,240,Cash
3550,26,932,7,2024-06-05,10,4830,Debit Card
3555,28,831,5,2024-02-04,10,1630,Mobile Payment
3571,82,971,6,2024-03-10,10,1420,Mobile Payment
3596,25,623,8,2024-04-05,10,4060,Debit Card
3602,10,721,6,2024-06-06,10,1250,Credit Card
3609,59,52,7,2024-03-20,10,2400,Mobile Payment
3626,9,565,5,2024-03-05,10,820,Credit Card
3641,70,24,7,2024-05-23,10,500,Credit Card
3649,72,881,9,2024-04-15,10,1280,Mobile Payment
3673,67,270,4,2024-02-27,10,3600,Debit Card
3691,48,849,8,2024-06-14,10,4950,Mobile Payment
3692,16,164,4,2024-02-18,10,4350,Credit Card
3694,73,160,8,2024-03-03,10,3400,Debit Card
3695,52,460,2,2024-06-07,10,3060,Debit Card
3701,21,73,9,2024-03-19,10,460,Mobile Payment
3703,4,680,4,2024-06-20,10,4210,Cash
3716,60,581,6,2024-06-22,10,1390,Cash
3718,56,577,8,2024-01-10,10,4540,Cash
3725,58,269,10,2024-01-11,10,810,Credit Card
3743,9,680,6,2024-05-24,10,820,Debit Card
3799,43,676,8,2024-02-04,10,3320,Debit Card
3803,13,377,2,2024-05-25,10,620,Mobile Payment
3814,91,80,9,2024-06-13,10,2190,Credit Card
3861,77,509,7,2024-06-16,10,3150,Debit Card
3863,31,685,7,2024-02-02,10,4460,Cash
3867,96,141,1,2024-05-12,10,840,Debit Card
3909,74,125,5,2024-03-10,10,3740,Mobile Payment
3910,69,494,10,2024-05-22,10,4110,Debit Card
3936,13,639,3,2024-04-15,10,620,Debit Card
3968,89,608,2,2024-02-13,10,990,Mobile Payment
3977,30,632,10,2024-05-25,10,2740,Mobile Payment
3997,38,556,2,2024-04-03,10,3690,Mobile Payment
4006,70,598,7,2024-05-10,10,500,Debit Card
4029,85,971,8,2024-02-10,10,240,Credit Card
4030,70,164,4,2024-01-01,10,500,Credit Card
4039,58,462,9,2024-06-01,10,810,Cash
4041,73,575,8,2024-03-06,10,3400,Credit Card
4048,31,693,5,2024-03-19,10,4460,Mobile Payment
4055,19,736,5,2024-01-04,10,250,Cash
4064,53,72,4,2024-02-15,10,4310,Debit Card
4092,33,531,10,2024-01-06,10,140,Credit Card
4094,46,276,5,2024-04-10,10,110,Mobile Payment
4103,28,692,1,2024-02-22,10,1630,Cash
4106,46,971,4,2024-02-25,10,110,Debit Card
4115,50,488,1,2024-04-21,10,2740,Cash
4122,38,6,2,2024-04-25,10,3690,Mobile Payment
4130,80,624,2,2024-02-16,10,4370,Mobile Payment
4137,1,706,4,2024-06-13,10,1850,Debit Card
4154,30,922,1,2024-02-03,10,2740,Mobile Payment
4160,23,794,9,2024-02-03,10,1350,Cash
4162,37,368,6,2024-01-06,10,1620,Cash
4187,87,429,3,2024-03-07,10,1110,Debit Card
4206,23,435,7,2024-06-29,10,1350,Mobile Payment
4218,71,545,1,2024-03-20,10,100,Mobile Payment
4221,47,134,2,2024-05-02,10,1940,Debit Card
4229,26,449,10,2024-06-18,10,4830,Mobile Payment
4234,22,706,10,2024-04-30,10,4690,Credit Card
4248,13,159,3,2024-01-05,10,620,Debit Card
4251,89,836,3,2024-05-16,10,990,Debit Card
4257,76,441,2,2024-05-03,10,2300,Mobile Payment
4263,27,359,7,2024-06-07,10,340,Credit Card
4266,16,142,9,2024-04-15,10,4350,Credit Card
4284,21,828,2,2024-05-24,10,460,Cash
4285,29,669,6,2024-02-04,10,2840,Debit Card
4286,13,337,1,2024-05-04,10,620,Credit Card
4294,7,787,5,2024-02-17,10,2880,Debit Card
4306,73,183,2,2024-05-10,10,3400,Cash
4324,1,556,6,2024-03-02,10,1850,Debit Card
4352,92,664,3,2024-04-26,10,3610,Mobile Payment
4362,16,868,9,2024-04-08,10,4350,Debit Card
4374,68,875,3,2024-06-14,10,1290,Cash
4394,4,121,2,2024-02-17,10,4210,Mobile Payment
4395,52,186,3,2024-04-28,10,3060,Mobile Payment
4426,87,642,1,2024-04-27,10,1110,Mobile Payment
4448,2,827,5,2024-01-25,10,3520,Cash
4461,50,893,10,2024-05-21,10,2740,Debit Card
4465,5,792,5,2024-02-19,10,3350,Cash
4480,13,945,7,2024-06-24,10,620,Mobile Payment
4481,96,75,8,2024-03-03,10,840,Credit Card
4486,7,174,5,2024-01-25,10,2880,Credit Card
4492,92,711,10,2024-05-05,10,3610,Cash
4594,18,850,8,2024-01-09,10,4880,Debit Card
4607,20,993,5,2024-02-06,10,3800,Cash
4611,11,144,4,2024-02-05,10,150,Debit Card
4615,40,741,2,2024-05-08,10,3550,Debit Card
4625,78,595,1,2024-01-26,10,1720,Debit Card
4647,58,709,8,2024-05-25,10,810,Mobile Payment
4649,65,867,3,2024-02-18,10,990,Debit Card
4650,69,223,2,2024-01-03,10,4110,Mobile Payment
4663,7,56,9,2024-03-18,10,2880,Debit Card
4665,5,742,4,2024-03-27,10,3350,Debit Card
4667,11,244,3,2024-04-09,10,150,Cash
4668,63,443,4,2024-01-29,10,4120,Mobile Payment
4679,62,942,2,2024-04-03,10,1360,Mobile Payment
4683,35,661,1,2024-05-25,10,4400,Mobile Payment
4688,81,127,3,2024-06-01,10,2600,Mobile Payment
4700,18,962,1,2024-01-12,10,4880,Debit Card
4710,88,795,8,2024-04-30,10,1840,Credit Card
4715,38,102,9,2024-02-07,10,3690,Cash
4726,88,847,10,2024-03-25,10,1840,Debit Card
4733,31,130,6,2024-01-31,10,4460,Credit Card
4737,58,220,2,2024-04-29,10,810,Mobile Payment
4761,9,919,3,2024-05-19,10,820,Debit Card
4774,62,966,2,2024-02-26,10,1360,Debit Card
4785,100,491,5,2024-03-27,10,2130,Debit Card
4789,29,628,8,2024-01-17,10,2840,Mobile Payment
4804,55,792,5,2024-01-12,10,1830,Cash
4813,91,1000,2,2024-02-02,10,2190,Debit Card
4814,67,194,9,2024-04-07,10,3600,Cash
4820,20,434,8,2024-04-15,10,3800,Debit Card
4836,36,389,7,2024-04-15,10,1320,Cash
4837,84,977,2,2024-01-17,10,4540,Credit Card
4846,1,717,7,2024-06-08,10,1850,Cash
4852,92,719,2,2024-03-02,10,3610,Mobile Payment
4855,98,939,8,2024-01-15,10,2280,Debit Card
4865,57,184,4,2024-04-08,10,1990,Debit Card
4873,19,716,8,2024-02-04,10,250,Mobile Payment
4875,65,877,10,2024-06-06,10,990,Cash
4883,33,823,1,2024-06-06,10,140,Debit Card
4891,47,880,1,2024-01-31,10,1940,Mobile Payment
4968,12,945,6,2024-03-23,10,4300,Debit Card
4974,85,916,8,2024-03-28,10,240,Credit Card
4982,76,657,3,2024-02-08,10,2300,Mobile Payment
4996,80,344,5,2024-06-19,10,4370,Mobile Payment
5021,43,815,1,2024-03-20,10,3320,Cash
5022,11,695,1,2024-05-28,10,150,Debit Card
5030,41,580,6,2024-03-14,10,1310,Mobile Payment
5035,68,268,3,2024-02-23,10,1290,Mobile Payment
5052,19,813,4,2024-02-07,10,250,Debit Card
5086,94,119,6,2024-04-23,10,1560,Cash
5105,6,447,4,2024-06-25,10,2500,Debit Card
5118,12,939,2,2024-05-10,10,4300,Credit Card
5123,22,290,4,2024-06-24,10,4690,Mobile Payment
5130,56,400,5,2024-06-21,10,4540,Credit Card
5131,69,294,5,2024-06-25,10,4110,Mobile Payment
5151,70,60,8,2024-04-07,10,500,Credit Card
5157,91,759,5,2024-01-06,10,2190,Debit Card
5169,30,49,2,2024-04-17,10,2740,Credit Card
5175,10,810,6,2024-06-23,10,1250,Debit Card
5187,23,383,5,2024-06-01,10,1350,Debit Card
5210,81,192,1,2024-05-31,10,2600,Mobile Payment
5211,4,943,1,2024-02-15,10,4210,Mobile Payment
5217,20,820,1,2024-05-30,10,3800,Cash
5228,82,931,10,2024-03-08,10,1420,Cash
5244,23,809,10,2024-06-17,10,1350,Mobile Payment
5263,10,980,2,2024-02-21,10,1250,Cash
5273,56,925,8,2024-04-29,10,4540,Cash
5281,89,245,9,2024-04-15,10,990,Debit Card
5284,100,42,2,2024-02-12,10,2130,Debit Card
5303,51,545,9,2024-05-13,10,2090,Debit Card
5305,27,14,2,2024-01-18,10,340,Credit Card
5320,91,150,10,2024-06-23,10,2190,Mobile Payment
5336,96,511,8,2024-03-12,10,840,Debit Card
5352,12,984,4,2024-03-20,10,4300,Debit Card
5393,70,368,8,2024-01-08,10,500,Mobile Payment
5402,7,484,9,2024-02-02,10,2880,Cash
5426,7,899,6,2024-05-01,10,2880,Mobile Payment
5427,58,90,6,2024-05-01,10,810,Cash
5431,16,8,1,2024-03-31,10,4350,Mobile Payment
5440,54,168,9,2024-05-02,10,4390,Cash
5446,50,14,2,2024-04-23,10,2740,Mobile Payment
5449,63,548,10,2024-03-11,10,4120,Debit Card
5450,1,185,10,2024-03-17,10,1850,Mobile Payment
5452,21,244,1,2024-06-15,10,460,Credit Card
5469,67,623,6,2024-05-16,10,3600,Debit Card
5471,8,962,6,2024-02-15,10,320,Cash
5496,71,220,8,2024-03-10,10,100,Mobile Payment
5525,33,521,8,2024-03-24,10,140,Cash
5530,49,987,7,2024-03-23,10,2450,Cash
5533,74,112,2,2024-06-26,10,3740,Credit Card
5547,72,941,6,2024-01-20,10,1280,Debit Card
5548,23,167,1,2024-05-23,10,1350,Credit Card
5557,25,685,4,2024-06-01,10,4060,Credit Card
5558,67,321,4,2024-03-29,10,3600,Credit Card
5563,1,51,9,2024-02-10,10,1850,Credit Card
5577,49,662,1,2024-05-02,10,2450,Credit Card
5578,83,199,4,2024-04-10,10,1120,Cash
5579,31,856,6,2024-02-03,10,4460,Mobile Payment
5585,57,901,10,2024-04-18,10,1990,Debit Card
5605,4,802,5,2024-05-22,10,4210,Debit Card
5617,54,217,2,2024-03-31,10,4390,Mobile Payment
5631,81,913,6,2024-06-11,10,2600,Cash
5638,65,86,9,2024-06-04,10,990,Cash
5652,67,746,4,2024-05-16,10,3600,Credit Card
5661,81,684,10,2024-01-24,10,2600,Credit Card
5662,54,865,5,2024-04-05,10,4390,Mobile Payment
5664,59,441,7,2024-05-26,10,2400,Debit Card
